"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"257","Jamison Crowder","WAS","9","WR80","","","","172.0"
"258","Ty Montgomery","II","","RB74","","","","217.3"
"259","Andre Ellington","","","RB75","","","","238.8"
"260","Cameron Artis-Payne","","","RB76","190","","","239.3"
"261","Indianapolis Colts","DST","10","DST24","221","","","219.0"
"262","C.J. Spiller","","","RB77","241","","","240.8"
"263","Nick Folk","TEN","13","K23","","","","243.0"
"264","Carson Wentz","KC","5","QB32","","","","224.0"
"265","Jesse James","","","TE29","219","","","243.5"
"266","Cole Beasley","","","WR81","","","","244.5"
"267","Dalvin Cook","","","RB78","","","","77.0"
"268","Tyreek Hill","MIA","8","WR82","","","","194.5"
"269","Corey Davis","","","WR83","","","","86.0"
"270","Jacob Tamme","","","TE30","235","","","230.0"
"271","Detroit Lions","DST","10","DST25","204","","","230.3"
"272","Dan Carpenter","","","K24","244","","","248.3"
"273","Jimmy Garoppolo","LAR","8","QB33","","","","231.0"
"274","Samaje Perine","DEN","11","RB79","","","","92.0"
"275","Cameron Brate","","","TE31","","","","233.3"
"276","Shayne Graham","","","K25","","","","97.0"
"277","Robert Woods","HOU","9","WR84","","","","234.0"
"278","Chicago Bears","DST","9","DST26","227","","","234.7"
"279","Braxton Miller","","","WR85","","","","236.0"
"280","Jonathan Williams","WAS","9","RB80","","","","204.0"
"281","Cameron Meredith","","","WR86","","","","112.0"
"282","Brandon LaFell","","","WR87","","","","255.8"
"283","J.J. Nelson","","","WR88","","","","241.0"
"284","Eli Rogers","","","WR89","","","","212.0"
"285","Josh Lambo","","","K26","","","","257.8"
"286","Kareem Hunt","","","RB81","","","","127.0"
"287","Marqise","Lee","","WR90","","","","215.5"
"288","Mike Williams","NYJ","11","WR91","","","","135.0"
"289","Wendell Smallwood","","","RB82","","","","218.5"
"290","Adam Thielen","CAR","7","WR92","","","","136.0"
"291","Colin Kaepernick","","","QB34","","","","246.7"
"292","Kendall Wright","","","WR93","","","","260.5"
"293","Tyrell Williams","","","WR94","","","","139.0"
"294","Malcolm Mitchell","","","WR95","","","","223.0"
"295","Jamaal Williams","NO","5","RB83","","","","146.0"
"296","Kenyan Drake","","","RB84","","","","225.0"
"297","Jack Doyle","","","TE32","","","","266.5"
"298","Rex Burkhead","","","RB85","","","","155.0"
"299","Vance McDonald","","","TE33","239","","","265.8"
"300","Joe Williams","","","RB86","","","","158.0"
"301","Atlanta Falcons","DST","11","DST27","","","","255.0"
"302","Paxton Lynch","","","QB35","","","","257.0"
"303","Jace Amaro","","","TE34","","","","168.0"
"304","Zay Jones","ARI","9","WR96","","","","168.0"
"305","O.J. Howard","","","TE35","","","","170.0"
"306","John Ross","","","WR97","","","","171.0"
"307","Jason Myers","SEA","5","K27","246","","","269.3"
"308","Marlon Mack","ARI","9","RB87","","","","173.0"
"309","Zach Zenner","","","RB88","","","","241.0"
"310","C.J. Fiedorowicz","","","TE36","","","","278.5"
"311","Alvin Kamara","NO","5","RB89","","","","183.0"
"312","Jalen Richard","","","RB90","","","","184.0"
"313","Los Angeles Chargers","DST","","DST28","","","","263.0"
"314","Josh Ferguson","","","RB91","","","","189.0"
"315","Jeremy McNichols","WAS","9","RB92","","","","189.0"
"316","Aaron Jones","MIN","6","RB93","","","","191.0"
"317","Luke Willson","","","TE37","","","","276.3"
"318","Benny Cunningham Jr.","","","RB94","231","","","247.5"
"319","Trevor Siemian","","","QB36","","","","274.8"
"320","Quincy Enunwa","","","WR98","","","","195.0"
"321","D'Onta Foreman","CLE","13","RB95","","","","200.0"
"322","Donnel Pumphrey","","","RB96","","","","202.0"
"323","Wil Lutz","DEN","11","K28","","","","203.0"
"324","Jacquizz Rodgers","","","RB97","","","","260.5"
"325","Jeff Janis","","","WR99","","","","269.3"
"326","Jerell Adams","","","TE38","","","","205.0"
"327","David Njoku","CLE","13","TE39","","","","206.0"
"328","New Orleans Saints","DST","5","DST29","","","","254.0"
"329","Austin Hooper","NE","9","TE40","","","","286.0"
"330","Robbie Chosen","","","WR100","","","","209.0"
"331","Will","Tye","","TE41","","","","271.7"
"332","Taylor Gabriel","","","WR101","","","","212.0"
"333","Alfred Blue","","","RB98","","","","272.3"
"334","Steve Johnson","","","WR102","","","","258.0"
"335","Phil Dawson","","","K29","","","","274.0"
"336","San Francisco 49ers","DST","8","DST30","","","","259.0"
"337","Deshaun Watson","CLE","13","QB37","","","","218.0"
"338","Kenjon Barner","","","RB99","","","","221.0"
"339","Wayne Gallman Jr.","","","RB100","","","","221.0"
"340","Quinton Patton","","","WR103","","","","222.0"
"341","Robert Turbin","","","RB101","","","","262.0"
"342","Jaelen Strong","","","WR104","","","","263.5"
"343","Tennessee Titans","DST","13","DST31","","","","263.5"
"344","Tyler Gaffney","","","RB102","","","","227.0"
"345","Rueben Randle","","","WR105","","","","277.0"
"346","Pharoh Cooper","","","WR106","","","","229.0"
"347","Cooper Kupp","LAR","8","WR107","","","","229.0"
"348","Ka'Deem Carey","","","RB103","","","","265.5"
"349","Curtis Samuel","BUF","10","WR108","","","","231.0"
"350","Vernon Davis","","","TE42","","","","301.3"
"351","Mark Sanchez","","","QB38","","","","281.0"
"352","Keith Marshall","","","RB104","","","","240.0"
"353","Tyler Higbee","LAR","8","TE43","","","","241.0"
"354","Evan Engram","JAC","5","TE44","","","","241.0"
"355","Tyler Ervin","","","RB105","","","","242.0"
"356","Greg Zuerlein","NYJ","11","K30","","","","287.3"
"357","James Conner","ARI","9","RB106","","","","245.0"
"358","Shaun Draughn","","","RB107","","","","249.0"
"359","Jared Abbrederis","","","WR109","","","","289.7"
"360","Josh Reynolds","DEN","11","WR110","","","","256.0"
"361","Andre Johnson","","","WR111","","","","279.5"
"362","Darrius Heyward-Bey","","","WR112","","","","280.5"
"363","Kyle Juszczyk","SF","8","RB108","","","","260.0"
"364","JuJu Smith-Schuster","NE","9","WR113","","","","261.0"
"365","Tre Mason","","","RB109","","","","281.5"
"366","Mike Tolbert","","","RB110","","","","283.0"
"367","Reggie Bush","","","RB111","","","","289.7"
"368","Mike Glennon","","","QB39","","","","310.5"
"369","Dontrelle Inman","","","WR114","","","","284.0"
"370","Dennis Pitta","","","TE45","","","","307.0"
"371","Brandon Bolden","","","RB112","","","","308.5"
"372","Paul Richardson Jr.","","","WR115","","","","268.0"
"373","Lance Dunbar","","","RB113","","","","285.0"
"374","Caleb Sturgis","","","K31","","","","300.0"
"375","Cleveland Browns","DST","13","DST32","","","","285.5"
"376","Jeremy Kerley","","","WR116","","","","270.0"
